Rk,Player,Tm,Salary17to18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
409,Skal Labissiere,SAC,1312611,1544951,2338847,,,,1st Round pick,2857562
444,Frank Mason,SAC,1184385,1378242,1618520,,,,,2562627
476,Caron Butler,SAC,517220,517220,,,,,,1034440
36,LaMarcus Aldridge,SAS,21461010,22347015,26000000,,,,Cap Space,69808025
47,Kawhi Leonard,SAS,18868625,20099189,21329752,,,,Bird Rights,38967814
68,Pau Gasol,SAS,16000000,16000000,16000000,,,,,38700000
73,Tony Parker,SAS,15453126,,,,,,Bird Rights,15453126
114,Patty Mills,SAS,10714286,11571429,12428571,13285714,,,Bird Rights,48000000
126,Danny Green,SAS,10000000,10000000,,,,,Bird Rights,10000000
139,Rudy Gay,SAS,8406000,8826300,,,,,MLE,8406000
276,Manu Ginobili,SAS,2500000,2500000,,,,,,5000000
312,Kyle Anderson,SAS,2151704,,,,,,1st Round Pick,2151704
337,Tim Duncan,SAS,1881250,1881250,,,,,,3762500
364,Joffrey Lauvergne,SAS,1524305,1656092,,,,,,1524305
402,Derrick White,SAS,1404600,1667160,1948080,3516284,,,1st Round Pick,3071760
408,Dejounte Murray,SAS,1312611,1544951,2321735,,,,1st Round pick,2857562
417,Davis Bertans,SAS,1312611,,,,,,Minimum Salary,1312611
434,Bryn Forbes,SAS,1312611,,,,,,Minimum Salary,100000
449,Livio Jean-Charles,SAS,1035200,,,,,,,1035200
468,Brandon Paul,SAS,815615,1378242,,,,,Minimum Salary,815615
6,Kyle Lowry,TOR,28703704,31000000,33296296,,,,Bird Rights,93000000
10,DeMar DeRozan,TOR,27739975,27739975,27739975,27739975,,,Cap Space,83219925
40,Serge Ibaka,TOR,20061729,21666667,23271604,,,,Cap space,65000000
72,Jonas Valanciunas,TOR,15460675,16539326,17617977,,,,1st Round Pick,32000001
144,C.J. Miles,TOR,7936509,8333333,8730158,,,,MLE,16269842
261,Lucas Nogueira,TOR,2947305,,,,,,1st Round Pick,2947305
266,Jakob Poeltl,TOR,2825640,2947320,3754886,,,,1st Round pick,5772960
281,Bruno Caboclo,TOR,2451225,,,,,,1st Round Pick,2451225
